Freq(Hz)	Noise floor as SE unstirred(dB)	Noise floor as SE stirred(dB)
200000000.000000	61.103	44.718
250000000.000000	54.937	51.551
300000000.000000	62.306	52.592
350000000.000000	75.840	54.007
400000000.000000	55.966	56.798
450000000.000000	57.799	56.859
500000000.000000	74.985	58.558
550000000.000000	66.624	63.486
600000000.000000	74.100	63.410
650000000.000000	66.976	66.704
700000000.000000	57.591	64.509
750000000.000000	63.698	59.668
800000000.000000	65.524	61.657
850000000.000000	59.069	62.715
900000000.000000	78.778	66.844
950000000.000000	62.763	66.468
1000000000.000000	70.758	66.920
1050000000.000000	63.514	68.321
1100000000.000000	63.641	66.749
1150000000.000000	72.187	67.759
1200000000.000000	71.502	70.448
1250000000.000000	76.632	70.386
1300000000.000000	71.137	72.718
1350000000.000000	72.160	71.651
1400000000.000000	62.741	71.453
1450000000.000000	69.889	69.384
1500000000.000000	81.155	69.953
1550000000.000000	81.191	72.748
1600000000.000000	69.782	74.545
1650000000.000000	73.552	73.323
1700000000.000000	62.391	74.488
1750000000.000000	77.152	73.592
1800000000.000000	77.454	74.052
1850000000.000000	69.062	73.920
1900000000.000000	70.377	73.466
1950000000.000000	75.573	73.884
2000000000.000000	65.172	75.751
2050000000.000000	67.705	75.433
2100000000.000000	74.583	75.604
2150000000.000000	71.409	73.412
2200000000.000000	65.446	74.057
2250000000.000000	88.519	73.558
2300000000.000000	73.446	75.385
2350000000.000000	93.761	73.716
2400000000.000000	78.478	73.780
2450000000.000000	72.256	73.116
2500000000.000000	84.429	73.518
2550000000.000000	83.189	75.746
2600000000.000000	77.841	76.553
2650000000.000000	80.148	74.605
2700000000.000000	70.388	75.033
2750000000.000000	73.063	75.002
2800000000.000000	76.326	74.285
2850000000.000000	68.470	72.864
2900000000.000000	62.254	74.019
2950000000.000000	79.325	74.680
3000000000.000000	65.728	76.603
3050000000.000000	75.239	75.936
3100000000.000000	74.945	75.274
3150000000.000000	70.069	74.723
3200000000.000000	67.539	75.106
3250000000.000000	64.489	73.444
3300000000.000000	58.332	74.355
3350000000.000000	77.429	74.821
3400000000.000000	80.610	74.142
3450000000.000000	76.678	74.161
3500000000.000000	62.550	73.925
3550000000.000000	65.089	74.906
3600000000.000000	59.887	75.442
3650000000.000000	73.746	74.581
3700000000.000000	68.700	75.231
3750000000.000000	68.964	75.891
3800000000.000000	74.386	75.721
3850000000.000000	68.779	75.160
3900000000.000000	89.837	74.512
3950000000.000000	79.317	75.440
4000000000.000000	73.928	76.659
4050000000.000000	100.922	77.315
4100000000.000000	78.754	75.936
4150000000.000000	68.504	75.769
4200000000.000000	62.560	73.669
4250000000.000000	72.139	75.888
4300000000.000000	78.462	76.377
4350000000.000000	78.107	76.670
4400000000.000000	86.474	74.129
4450000000.000000	74.513	75.019
4500000000.000000	59.298	73.816
4550000000.000000	77.513	72.847
4600000000.000000	62.313	73.201
4650000000.000000	70.492	73.292
4700000000.000000	72.495	73.125
4750000000.000000	75.319	73.186
4800000000.000000	47.982	73.193
4850000000.000000	74.145	73.642
4900000000.000000	65.370	72.735
4950000000.000000	66.694	73.435
5000000000.000000	80.571	72.776
5050000000.000000	80.244	72.751
5100000000.000000	71.556	73.096
5150000000.000000	73.576	72.628
5200000000.000000	76.602	71.203
5250000000.000000	68.939	71.440
5300000000.000000	66.849	71.449
5350000000.000000	75.842	73.770
5400000000.000000	67.071	73.741
5450000000.000000	62.317	74.102
5500000000.000000	75.659	72.969
5550000000.000000	64.019	73.872
