Freq(Hz)	Noise floor as SE unstirred(dB)	Noise floor as SE stirred(dB)
200000000.000000	36.754	1.353
250000000.000000	37.923	4.218
300000000.000000	40.530	9.449
350000000.000000	51.427	15.639
400000000.000000	42.577	18.093
450000000.000000	47.613	18.205
500000000.000000	57.666	21.145
550000000.000000	54.632	28.295
600000000.000000	58.784	28.533
650000000.000000	54.205	30.375
700000000.000000	55.422	32.490
750000000.000000	54.347	27.805
800000000.000000	53.011	27.048
850000000.000000	50.483	29.313
900000000.000000	59.381	35.390
950000000.000000	51.011	35.875
1000000000.000000	55.644	37.095
1050000000.000000	53.876	38.537
1100000000.000000	56.395	37.050
1150000000.000000	55.371	38.181
1200000000.000000	60.101	41.585
1250000000.000000	58.495	40.890
1300000000.000000	57.675	46.473
1350000000.000000	66.769	43.914
1400000000.000000	67.243	44.316
1450000000.000000	59.485	42.958
1500000000.000000	69.701	43.776
1550000000.000000	67.207	46.091
1600000000.000000	66.289	49.932
1650000000.000000	64.608	49.829
1700000000.000000	64.765	50.409
1750000000.000000	67.731	50.754
1800000000.000000	64.334	52.277
1850000000.000000	70.536	52.196
1900000000.000000	63.540	51.414
1950000000.000000	65.579	53.077
2000000000.000000	63.574	54.189
2050000000.000000	63.247	53.663
2100000000.000000	63.041	54.587
2150000000.000000	63.467	54.528
2200000000.000000	60.789	52.742
2250000000.000000	77.726	54.506
2300000000.000000	67.803	55.982
2350000000.000000	89.288	54.939
2400000000.000000	65.049	55.266
2450000000.000000	71.575	54.767
2500000000.000000	75.097	56.316
2550000000.000000	77.663	57.637
2600000000.000000	78.643	58.411
2650000000.000000	84.555	57.624
2700000000.000000	70.217	58.862
2750000000.000000	66.767	58.768
2800000000.000000	71.267	57.346
2850000000.000000	76.342	57.152
2900000000.000000	68.684	58.481
2950000000.000000	70.591	58.310
3000000000.000000	57.736	60.704
3050000000.000000	66.723	61.465
3100000000.000000	70.475	60.459
3150000000.000000	66.061	59.289
3200000000.000000	65.689	59.227
3250000000.000000	65.504	59.204
3300000000.000000	62.408	60.477
3350000000.000000	75.249	61.515
3400000000.000000	72.371	60.542
3450000000.000000	67.404	59.994
3500000000.000000	72.446	60.562
3550000000.000000	65.641	60.170
3600000000.000000	66.430	61.258
3650000000.000000	71.100	61.415
3700000000.000000	64.292	61.730
3750000000.000000	68.951	63.805
3800000000.000000	74.797	62.595
3850000000.000000	67.237	63.324
3900000000.000000	85.668	62.240
3950000000.000000	80.765	62.585
4000000000.000000	83.686	63.801
4050000000.000000	90.990	64.249
4100000000.000000	62.796	64.552
4150000000.000000	75.833	64.312
4200000000.000000	66.231	62.453
4250000000.000000	75.626	63.364
4300000000.000000	72.273	64.268
4350000000.000000	75.207	64.675
4400000000.000000	81.443	63.671
4450000000.000000	63.851	63.693
4500000000.000000	58.980	62.992
4550000000.000000	66.851	62.388
4600000000.000000	74.276	62.164
4650000000.000000	73.745	62.748
4700000000.000000	72.221	61.901
4750000000.000000	69.241	62.868
4800000000.000000	66.813	62.423
4850000000.000000	56.579	63.042
