Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	48.043	0.973204	14.036	15.762	4.967
250000000	32.897	3.796567	18.271	20.920	6.142
300000000	48.840	8.694421	20.239	22.560	6.527
350000000	45.062	16.599552	25.986	28.151	6.597
400000000	47.152	16.486400	26.373	28.495	6.097
450000000	44.733	16.770089	26.417	28.097	5.827
500000000	40.175	20.744752	28.960	31.168	6.286
550000000	42.933	27.847251	32.081	33.545	6.240
600000000	29.309	26.557706	28.177	29.273	6.291
650000000	37.219	28.512940	32.077	33.435	6.799
700000000	35.095	35.083848	35.088	35.077	7.904
750000000	38.160	26.551557	29.676	30.614	6.986
800000000	36.088	26.166872	30.443	31.819	6.908
850000000	35.803	25.755755	29.565	31.151	7.603
900000000	49.089	33.707812	35.015	36.229	7.573
950000000	50.818	32.973719	35.458	36.254	7.554
1000000000	29.713	32.936369	31.783	32.375	6.294
1050000000	35.822	36.140794	36.023	36.230	7.050
1100000000	44.206	34.483478	37.720	38.712	7.028
1150000000	39.138	35.914671	37.298	37.198	8.031
1200000000	40.000	37.165087	38.173	38.610	7.263
1250000000	30.980	33.448356	32.290	31.546	6.574
1300000000	24.575	26.415066	25.863	26.059	7.755
1350000000	33.509	35.246338	34.141	33.406	6.113
1400000000	37.548	35.585139	36.145	36.439	6.015
1450000000	22.190	28.520899	25.270	24.441	6.371
1500000000	31.472	34.364281	33.055	32.480	8.087
1550000000	29.670	37.355407	33.519	32.408	6.468
1600000000	31.313	36.758798	33.924	33.295	7.494
1650000000	28.406	31.158831	29.669	29.155	5.729
1700000000	31.118	30.369091	30.670	30.386	7.115
1750000000	39.883	29.461739	30.875	30.762	7.133
1800000000	45.680	27.094256	27.856	27.901	7.553
1850000000	39.539	33.057925	34.189	35.001	7.508
1900000000	28.995	32.547306	31.154	31.185	6.568
1950000000	25.632	30.796963	28.941	28.131	7.894
2000000000	25.358	27.957257	26.945	27.832	7.348
2050000000	19.113	25.869625	23.820	23.043	7.363
2100000000	27.534	32.413695	30.852	30.207	8.045
2150000000	24.068	33.223609	29.695	28.898	6.353
2200000000	21.934	28.225397	25.200	24.128	7.809
2250000000	23.915	29.885331	28.156	27.152	8.429
2300000000	32.779	32.986354	32.920	33.114	8.214
2350000000	30.597	31.372503	31.236	31.454	6.796
2400000000	24.462	32.913144	30.398	29.687	7.327
2450000000	30.853	31.836280	31.516	31.793	6.892
2500000000	29.362	30.026063	29.901	28.911	7.082
