Freq(Hz)	Noise floor as SE unstirred(dB)	Noise floor as SE stirred(dB)
200000000.000000	46.152	3.872
250000000.000000	47.164	4.603
300000000.000000	50.339	8.224
350000000.000000	60.281	15.904
400000000.000000	51.453	16.388
450000000.000000	57.940	15.290
500000000.000000	67.899	17.189
550000000.000000	64.057	24.602
600000000.000000	68.580	24.494
650000000.000000	64.635	31.741
700000000.000000	66.756	29.866
750000000.000000	63.827	23.286
800000000.000000	61.636	26.894
850000000.000000	58.189	28.846
900000000.000000	70.531	32.979
950000000.000000	60.873	35.387
1000000000.000000	67.681	36.892
1050000000.000000	63.586	38.457
1100000000.000000	64.400	37.546
1150000000.000000	64.996	40.561
1200000000.000000	70.536	43.671
1250000000.000000	71.394	43.124
1300000000.000000	69.991	46.400
1350000000.000000	75.112	44.431
1400000000.000000	79.430	44.670
1450000000.000000	72.422	43.538
1500000000.000000	81.046	45.057
1550000000.000000	78.733	48.195
1600000000.000000	75.117	50.359
1650000000.000000	72.383	50.349
1700000000.000000	73.553	50.441
1750000000.000000	79.055	51.388
1800000000.000000	77.721	51.349
1850000000.000000	80.352	51.176
1900000000.000000	74.541	51.935
1950000000.000000	76.958	53.023
2000000000.000000	73.500	52.884
2050000000.000000	77.581	53.756
2100000000.000000	76.042	54.011
2150000000.000000	76.190	53.170
2200000000.000000	71.974	52.538
2250000000.000000	91.372	54.472
2300000000.000000	77.615	56.377
2350000000.000000	104.343	53.934
2400000000.000000	80.495	54.144
2450000000.000000	82.344	52.832
2500000000.000000	89.844	54.445
2550000000.000000	86.909	56.596
2600000000.000000	86.746	57.070
2650000000.000000	92.295	56.655
2700000000.000000	84.922	58.965
2750000000.000000	81.740	58.274
2800000000.000000	84.563	56.467
2850000000.000000	88.816	56.463
2900000000.000000	79.956	58.123
2950000000.000000	84.265	58.868
3000000000.000000	79.572	59.933
3050000000.000000	84.712	60.513
3100000000.000000	86.146	59.824
3150000000.000000	85.014	58.855
3200000000.000000	84.642	59.208
3250000000.000000	78.588	59.706
3300000000.000000	84.381	60.217
3350000000.000000	88.110	60.521
3400000000.000000	89.422	60.948
3450000000.000000	86.987	59.591
3500000000.000000	91.069	60.136
3550000000.000000	82.617	60.831
3600000000.000000	82.657	61.841
3650000000.000000	85.386	60.889
3700000000.000000	82.696	61.425
3750000000.000000	85.989	62.261
3800000000.000000	91.887	61.816
3850000000.000000	89.879	63.726
3900000000.000000	100.820	61.588
3950000000.000000	99.025	61.812
4000000000.000000	94.971	63.951
4050000000.000000	108.117	64.764
4100000000.000000	91.933	64.301
4150000000.000000	89.773	63.728
4200000000.000000	88.135	62.032
4250000000.000000	91.681	63.483
4300000000.000000	92.655	64.654
4350000000.000000	95.286	64.415
4400000000.000000	97.697	63.568
4450000000.000000	89.001	63.314
4500000000.000000	84.582	62.244
4550000000.000000	91.082	62.213
4600000000.000000	94.296	62.143
4650000000.000000	89.515	62.368
4700000000.000000	88.244	61.816
4750000000.000000	87.710	62.419
4800000000.000000	84.094	62.247
4850000000.000000	84.311	61.604
4900000000.000000	84.535	62.430
4950000000.000000	90.318	61.563
5000000000.000000	103.003	62.714
5050000000.000000	92.252	62.531
5100000000.000000	84.948	62.966
5150000000.000000	89.331	62.288
5200000000.000000	84.344	60.456
5250000000.000000	86.486	60.623
5300000000.000000	82.524	61.218
5350000000.000000	91.737	63.925
5400000000.000000	93.610	63.056
5450000000.000000	87.221	63.290
5500000000.000000	91.985	63.003
5550000000.000000	83.518	63.270
5600000000.000000	89.365	63.091
5650000000.000000	88.787	62.135
5700000000.000000	88.286	62.740
5750000000.000000	90.729	62.525
5800000000.000000	90.236	61.926
5850000000.000000	91.280	61.791
5900000000.000000	97.723	62.119
5950000000.000000	96.277	61.660
6000000000.000000	87.693	60.490
6050000000.000000	92.744	59.541
6100000000.000000	86.889	58.786
6150000000.000000	89.493	59.683
6200000000.000000	85.415	60.835
6250000000.000000	84.275	59.913
6300000000.000000	83.601	59.170
6350000000.000000	81.035	59.326
6400000000.000000	80.047	58.578
6450000000.000000	81.504	58.370
6500000000.000000	87.196	60.681
