Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	42.252	3.258069	22.976	25.358	5.129
250000000	42.781	4.162953	27.380	30.249	6.491
300000000	47.527	8.261225	30.471	32.725	5.300
350000000	49.177	16.114568	33.571	36.350	6.119
400000000	47.355	15.691680	35.480	38.137	5.792
450000000	51.884	15.205299	37.524	40.001	5.627
500000000	50.353	17.577430	39.289	41.362	4.977
550000000	51.045	24.622128	40.056	42.708	6.227
600000000	49.425	25.541856	41.635	44.071	5.793
650000000	52.701	31.337052	42.871	44.871	5.172
700000000	53.952	32.579466	43.423	45.991	6.286
750000000	54.721	22.734887	37.677	39.523	5.146
800000000	52.336	26.672287	39.120	41.734	6.037
850000000	50.219	29.270662	40.039	42.106	5.941
900000000	50.289	33.488168	42.479	43.967	5.217
950000000	52.778	35.433558	44.624	46.576	5.427
1000000000	52.883	36.859727	44.905	46.482	6.882
1050000000	51.224	39.177285	45.967	47.763	5.839
1100000000	52.523	37.663364	46.215	47.504	4.822
1150000000	53.883	41.729643	48.722	50.721	6.421
1200000000	54.001	44.067506	50.150	50.873	4.263
1250000000	54.773	43.523365	50.954	52.718	5.973
1300000000	50.562	43.960100	48.770	49.860	4.897
1350000000	52.465	43.453651	50.113	51.455	5.455
1400000000	53.680	43.788449	50.631	52.210	5.056
1450000000	59.263	43.056800	52.133	53.742	5.696
1500000000	54.362	44.880830	51.091	52.668	4.986
1550000000	54.677	47.197315	51.668	52.500	6.677
1600000000	56.390	48.396320	53.262	55.246	6.464
1650000000	57.806	47.500290	53.421	55.240	6.326
1700000000	55.974	46.798817	52.716	54.551	6.177
1750000000	57.402	48.670258	54.283	55.283	6.479
1800000000	54.740	48.379859	52.892	53.980	5.237
1850000000	54.140	47.642891	52.185	53.242	5.422
1900000000	59.267	46.798884	53.366	54.996	6.550
1950000000	69.087	48.760244	55.782	56.716	5.658
2000000000	64.715	47.880540	55.960	57.677	5.462
2050000000	59.942	49.197301	55.502	56.646	5.363
2100000000	55.928	48.347063	53.686	55.085	6.023
2150000000	53.689	47.891543	52.106	53.129	5.779
2200000000	54.829	45.764415	51.849	53.061	5.076
2250000000	67.793	45.288322	52.684	54.634	6.683
2300000000	52.486	47.553888	50.966	51.682	6.075
2350000000	59.040	46.731277	54.570	56.547	6.084
2400000000	51.230	46.262020	50.180	50.961	4.479
2450000000	49.017	45.708042	48.499	49.082	4.145
2500000000	47.955	45.208185	47.617	48.041	3.573
2550000000	48.948	47.599040	48.722	49.002	4.383
2600000000	50.738	45.206644	49.476	49.813	5.033
2650000000	50.029	43.987683	48.847	49.587	4.209
2700000000	52.865	47.972751	51.924	52.915	4.897
2750000000	57.081	47.235248	54.189	56.679	6.484
2800000000	49.620	45.624348	48.950	49.500	4.209
2850000000	49.821	45.275935	48.996	49.485	4.152
2900000000	52.465	45.863098	50.663	51.955	5.294
2950000000	53.050	45.995528	51.261	52.868	5.540
3000000000	49.236	44.939756	48.334	49.241	5.518
3050000000	49.864	46.326009	49.341	49.800	3.810
3100000000	49.231	45.887786	48.759	49.271	3.982
3150000000	48.978	43.325041	48.017	48.929	4.273
3200000000	48.627	43.354847	47.673	48.525	4.229
3250000000	46.091	45.525272	46.015	45.938	3.328
3300000000	44.926	43.821490	44.777	45.013	3.780
3350000000	46.603	43.818950	46.216	46.768	4.227
3400000000	45.454	43.227408	45.086	45.307	4.389
3450000000	46.792	40.988126	45.633	46.309	4.378
3500000000	45.799	42.572722	45.278	45.568	3.703
3550000000	44.310	42.528831	44.049	44.384	3.685
3600000000	44.303	43.734266	44.224	44.140	3.761
3650000000	43.628	43.422082	43.605	43.572	3.004
3700000000	43.140	43.821507	43.208	43.126	3.296
3750000000	44.042	42.784723	43.908	44.036	3.176
3800000000	45.001	44.181056	44.890	45.085	3.248
3850000000	44.611	44.659489	44.619	44.695	4.142
3900000000	42.077	43.118577	42.186	42.075	3.231
3950000000	42.382	41.883045	42.340	42.272	2.812
4000000000	42.234	42.949115	42.305	42.193	3.001
4050000000	41.847	45.312015	42.203	41.868	3.074
4100000000	40.628	44.422388	41.003	40.517	3.191
4150000000	41.435	43.161615	41.583	41.381	2.603
4200000000	42.120	43.392713	42.241	42.112	2.939
4250000000	42.780	43.349205	42.856	42.834	3.334
4300000000	43.381	44.594917	43.538	43.448	3.152
4350000000	40.904	43.018246	41.064	40.879	2.732
4400000000	41.111	43.314650	41.348	41.007	3.163
4450000000	40.948	44.198691	41.317	40.978	3.080
4500000000	40.074	43.240216	40.485	39.845	5.196
4550000000	40.777	43.122802	41.007	40.923	2.826
4600000000	42.294	42.497855	42.317	42.153	3.278
4650000000	43.533	43.680606	43.550	43.547	3.620
4700000000	42.542	43.143743	42.615	42.424	3.079
4750000000	39.753	43.541223	40.158	39.797	2.996
4800000000	40.395	43.040193	40.664	40.365	2.866
4850000000	40.333	42.010872	40.502	40.345	3.023
4900000000	40.589	44.521552	41.153	40.468	4.207
4950000000	39.343	41.256814	39.561	39.322	3.126
5000000000	39.792	42.956385	40.079	39.824	2.849
5050000000	39.850	41.782003	40.049	39.870	3.448
5100000000	39.383	42.736801	39.884	39.650	3.490
5150000000	38.628	43.061785	39.495	38.641	5.256
5200000000	40.953	39.682855	40.776	41.109	4.087
5250000000	41.180	40.023888	41.042	41.153	3.231
5300000000	40.384	41.243163	40.513	40.422	3.814
5350000000	40.638	41.748892	40.767	40.634	3.085
5400000000	39.122	40.851820	39.310	38.946	3.075
5450000000	39.779	40.184942	39.827	39.649	3.294
5500000000	39.853	41.116209	40.014	39.631	4.154
5550000000	38.048	40.595796	38.387	38.035	3.379
5600000000	37.227	39.710207	37.511	37.216	3.490
5650000000	36.053	38.202219	36.254	36.034	2.849
5700000000	36.190	38.738562	36.442	36.065	3.032
5750000000	36.466	38.119290	36.706	36.418	3.824
5800000000	36.019	38.057217	36.373	36.136	4.599
5850000000	36.329	37.091818	36.408	36.374	3.023
5900000000	36.989	36.652471	36.946	37.020	3.011
5950000000	36.357	38.848414	36.653	36.507	2.733
6000000000	34.394	35.919499	34.617	34.384	3.731
6050000000	34.242	35.087844	34.336	34.310	3.066
6100000000	34.688	34.264731	34.644	34.684	2.783
6150000000	35.344	36.204414	35.475	35.361	3.946
6200000000	34.687	36.165782	34.862	34.656	3.305
6250000000	34.094	33.183515	34.010	34.095	3.234
6300000000	34.248	33.337805	34.182	34.248	2.469
6350000000	31.842	34.019577	32.099	31.803	3.132
6400000000	30.277	31.741986	30.474	30.333	3.956
6450000000	30.910	31.862963	31.000	30.926	2.909
6500000000	34.814	32.451600	34.572	34.845	3.275
6550000000	35.374	31.750198	34.987	35.381	3.225
6600000000	32.872	32.984754	32.887	32.846	3.391
6650000000	30.354	31.520407	30.475	30.281	2.858
6700000000	31.018	29.233219	30.871	31.003	2.805
6750000000	30.834	29.385133	30.648	30.950	3.339
6800000000	30.016	29.090292	29.830	29.684	4.388
6850000000	30.492	29.859153	30.387	30.571	4.166
6900000000	31.846	28.646252	31.528	31.847	3.211
6950000000	32.698	28.715188	32.292	32.835	3.416
7000000000	29.809	27.467763	29.547	29.801	3.533
7050000000	27.597	26.864457	27.509	27.663	3.400
7100000000	27.100	26.409327	27.032	27.089	3.145
7150000000	28.120	26.570533	27.958	28.142	3.024
7200000000	30.735	25.935180	30.169	30.871	3.497
7250000000	26.667	26.934886	26.724	26.541	5.464
7300000000	28.048	25.171767	27.762	28.253	3.253
7350000000	26.278	23.866531	26.009	26.228	3.244
7400000000	25.857	23.486925	25.520	25.773	3.828
7450000000	21.410	24.654833	22.072	21.390	5.027
7500000000	22.889	23.489884	22.958	22.963	3.402
7550000000	23.517	22.830273	23.464	23.584	2.498
7600000000	24.438	21.537988	24.136	24.461	3.185
7650000000	22.727	23.135310	22.786	22.731	3.587
7700000000	17.340	20.954466	17.854	17.260	3.963
7750000000	19.387	18.969683	19.358	19.486	2.344
7800000000	19.612	18.448723	19.510	19.654	2.893
7850000000	17.338	20.342496	17.714	17.292	3.454
7900000000	12.131	18.943220	13.224	12.313	4.373
7950000000	13.821	16.610022	14.045	13.800	2.846
8000000000	13.396	15.572265	13.570	13.412	2.955
8050000000	11.963	16.151094	12.489	11.943	4.165
8100000000	3.462	14.558869	6.157	4.444	5.234
8150000000	3.377	12.035183	4.676	3.586	4.525
8200000000	7.615	10.057955	7.790	7.569	2.491
8250000000	6.170	10.165049	6.515	6.117	3.079
8300000000	1.247	5.684971	1.908	1.229	3.916
8350000000	-6.070	3.782936	-4.272	-6.265	5.468
8400000000	-4.055	3.802024	-2.938	-4.127	4.963
8450000000	0.887	5.501432	1.449	0.815	3.887
8500000000	4.104	8.635984	4.893	4.119	4.375
8550000000	-7.060	11.890239	2.295	-0.131	7.075
8600000000	5.602	12.194833	6.618	5.845	3.875
8650000000	8.358	13.436176	8.950	8.422	3.194
8700000000	13.027	16.289473	13.525	12.820	4.333
8750000000	10.440	16.981883	13.100	12.384	5.710
8800000000	0.133	18.004096	10.702	9.403	5.507
8850000000	15.235	19.552017	16.252	15.345	5.764
8900000000	15.966	20.407317	17.180	16.299	5.184
8950000000	20.599	21.325577	20.861	20.970	6.432
9000000000	10.248	22.497101	16.587	14.679	7.143
9050000000	13.731	20.930051	16.402	15.120	6.512
9100000000	23.315	22.106052	22.926	22.821	6.167
9150000000	25.223	23.346216	24.222	24.252	8.902
9200000000	18.771	25.073553	21.766	20.769	7.400
9250000000	15.057	24.123308	19.412	18.164	6.769
9300000000	21.339	24.332475	22.427	22.248	6.530
9350000000	26.607	26.021451	26.415	26.853	5.698
9400000000	23.849	24.743671	24.188	24.395	6.664
9450000000	13.145	26.004684	21.088	19.918	6.709
9500000000	17.268	26.594350	22.221	20.801	6.363
9550000000	24.049	24.997088	24.502	24.146	7.004
9600000000	19.651	26.178623	21.848	21.016	6.245
9650000000	19.750	26.530551	22.619	21.948	5.127
9700000000	17.772	26.550924	21.672	20.205	7.931
