Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	53.205	4.117147	23.881	26.000	5.189
250000000	38.772	4.173125	27.205	29.364	4.602
300000000	42.677	6.989667	29.092	31.243	5.712
350000000	43.919	15.541976	32.776	35.570	5.428
400000000	42.450	14.918086	34.284	36.882	5.948
450000000	47.087	14.246754	36.346	39.114	6.537
500000000	44.762	16.611975	37.724	39.686	4.812
550000000	45.965	24.162865	39.000	41.298	5.479
600000000	50.826	23.878010	40.345	42.421	5.076
650000000	47.529	32.034012	42.500	44.400	5.687
700000000	47.949	32.360508	42.311	44.483	5.852
750000000	64.396	22.331940	37.350	39.480	5.612
800000000	54.189	26.014132	38.549	41.846	7.755
850000000	41.380	27.132953	36.676	38.884	5.814
900000000	41.548	31.760455	38.723	40.213	5.157
950000000	38.794	33.373649	37.797	38.803	4.323
1000000000	57.722	33.724472	42.304	44.446	6.873
1050000000	51.654	37.141189	44.431	46.062	5.860
1100000000	45.394	35.489535	42.448	43.959	5.339
1150000000	48.345	39.244527	45.217	46.349	4.930
1200000000	54.710	41.514344	48.472	50.146	5.648
1250000000	46.007	37.035199	43.484	44.714	5.622
1300000000	36.007	28.522852	33.811	35.671	6.626
1350000000	41.455	37.172538	40.760	41.471	4.367
1400000000	41.291	38.002367	40.754	41.568	4.568
1450000000	41.288	31.811355	38.726	39.981	4.989
1500000000	48.846	39.048742	45.383	47.218	6.200
1550000000	46.251	40.102133	44.003	45.447	6.122
1600000000	44.715	41.022132	43.688	44.081	4.624
1650000000	43.295	38.816236	42.078	43.095	5.047
1700000000	45.417	37.446502	42.841	44.491	6.067
1750000000	42.254	35.326151	40.110	40.936	5.686
1800000000	39.553	32.362171	37.310	38.900	6.054
1850000000	39.768	39.929944	39.794	39.873	4.494
1900000000	42.832	37.362329	41.254	42.124	5.264
1950000000	41.263	38.307462	40.521	40.767	5.308
2000000000	39.484	33.997021	38.182	39.204	4.753
2050000000	36.417	29.438569	34.235	35.717	5.811
2100000000	35.565	34.296976	35.359	35.527	3.860
2150000000	36.886	28.314039	33.933	35.063	5.537
2200000000	32.703	29.585248	32.109	32.691	4.613
2250000000	32.979	32.471796	32.885	32.638	3.960
2300000000	32.000	35.458105	32.501	31.884	4.434
2350000000	32.205	31.443207	32.112	32.138	3.596
2400000000	31.578	34.643012	31.868	31.677	2.732
2450000000	31.030	34.761597	31.317	31.041	2.496
2500000000	32.361	34.681593	32.529	32.382	2.710
2550000000	29.765	35.323026	30.252	29.802	2.785
2600000000	28.521	29.341341	28.620	28.182	3.892
2650000000	28.758	29.713499	28.847	28.811	2.885
2700000000	29.216	32.875091	29.513	29.193	2.601
2750000000	29.239	32.840563	29.515	29.382	2.358
2800000000	27.948	29.685422	28.109	27.892	3.110
2850000000	26.068	28.152675	26.260	25.988	2.676
2900000000	20.696	25.998911	21.161	20.638	3.081
2950000000	22.307	27.940215	22.721	22.429	2.290
3000000000	19.387	26.800192	19.902	19.350	2.900
3050000000	18.503	25.112040	18.863	18.427	2.482
3100000000	18.214	22.977318	18.510	18.216	2.344
3150000000	17.724	20.289306	17.907	17.748	2.177
3200000000	16.352	16.875736	16.404	16.396	2.876
3250000000	13.099	16.536647	13.413	13.074	2.837
3300000000	9.405	12.931717	9.706	9.453	2.801
3350000000	8.107	10.521780	8.304	8.093	2.491
3400000000	5.541	6.967309	5.705	5.414	3.893
3450000000	6.451	5.788051	6.373	6.403	3.570
3500000000	9.936	9.976731	9.940	9.940	3.536
3550000000	11.650	11.164273	11.588	11.854	3.814
3600000000	16.917	11.767999	15.787	16.501	5.018
3650000000	15.637	14.542088	15.502	15.615	3.184
3700000000	15.239	15.925039	15.307	15.137	3.130
3750000000	18.767	19.188235	18.805	18.694	2.480
3800000000	20.564	18.396597	20.230	20.592	3.768
3850000000	20.721	22.300970	20.955	20.896	3.762
3900000000	20.107	23.656775	20.400	20.060	2.397
3950000000	22.593	23.186272	22.638	22.574	2.854
4000000000	21.600	25.989828	21.903	21.582	2.630
4050000000	21.547	27.320761	22.031	21.579	2.602
4100000000	18.891	25.876358	19.416	18.795	3.057
4150000000	22.973	27.107115	23.253	22.941	2.451
4200000000	24.950	29.259800	25.258	24.972	2.665
4250000000	25.296	30.195842	25.731	25.299	2.815
4300000000	24.369	31.005402	24.895	24.474	2.706
4350000000	24.201	31.383451	24.545	24.176	2.146
4400000000	24.828	33.568478	25.362	24.780	2.712
4450000000	25.524	32.171001	26.085	25.552	2.993
4500000000	26.012	30.773461	26.549	25.656	4.346
4550000000	27.773	33.142081	28.171	27.879	2.336
4600000000	29.141	33.964063	29.487	29.122	3.004
4650000000	30.685	35.333168	31.042	30.663	2.581
4700000000	30.406	35.184440	30.792	30.408	3.080
4750000000	27.576	34.430712	28.138	27.694	2.916
4800000000	28.424	33.380314	28.833	28.393	2.749
4850000000	30.104	32.558013	30.332	30.115	2.567
4900000000	29.364	34.363034	30.018	29.207	3.971
4950000000	27.187	29.990373	27.481	27.124	3.096
5000000000	27.180	30.307671	27.464	27.176	2.912
5050000000	26.647	27.745361	26.770	26.562	3.334
5100000000	23.111	27.743751	23.731	23.467	3.450
5150000000	19.906	25.759323	20.927	19.845	4.645
5200000000	21.356	21.947979	21.424	21.433	3.457
5250000000	22.350	19.492846	21.941	22.375	3.936
5300000000	18.165	16.495641	17.846	18.051	4.457
5350000000	19.288	11.221896	16.980	18.462	5.641
5400000000	17.672	7.735647	14.361	15.404	5.807
5450000000	13.052	5.622070	11.152	12.706	6.883
5500000000	21.299	5.486975	13.278	15.651	7.095
5550000000	16.916	5.566903	11.947	13.643	6.311
5600000000	17.024	8.144011	14.064	15.660	6.602
5650000000	19.147	10.830012	16.918	17.880	4.629
5700000000	23.852	11.379267	18.909	20.894	5.767
5750000000	16.093	10.903079	14.660	15.742	6.025
5800000000	12.431	10.877570	12.057	12.368	5.317
5850000000	14.650	11.683960	14.198	14.423	3.526
5900000000	16.901	12.832899	16.149	16.889	3.910
5950000000	21.570	15.642521	19.990	21.915	6.054
6000000000	20.545	15.057706	18.998	19.911	5.328
6050000000	22.456	14.044272	20.103	22.093	6.084
6100000000	22.784	15.930883	21.395	22.423	4.778
6150000000	21.402	16.864440	20.246	21.275	6.005
6200000000	23.926	16.333680	21.760	23.232	5.861
6250000000	26.235	17.947998	24.521	25.667	4.726
6300000000	28.838	18.717365	26.783	28.301	5.256
6350000000	26.963	20.456968	25.184	26.256	5.365
6400000000	25.325	18.977903	23.530	24.524	5.357
6450000000	26.063	18.400980	24.289	25.271	5.015
6500000000	28.773	21.072273	27.349	28.214	4.376
6550000000	27.168	18.708155	25.614	26.820	4.808
6600000000	24.486	19.456442	23.400	24.096	4.653
6650000000	23.931	19.557550	23.132	23.933	4.891
6700000000	26.305	17.449676	24.683	25.451	4.295
6750000000	26.888	18.752062	24.819	26.892	6.882
6800000000	25.945	16.430178	22.032	24.312	7.477
6850000000	26.066	16.994750	22.843	24.680	6.383
6900000000	27.179	13.518574	23.111	25.102	6.119
6950000000	26.259	9.820436	20.452	22.464	5.108
7000000000	30.703	5.336173	15.797	18.021	5.776
7050000000	28.843	7.712227	16.946	19.158	6.034
7100000000	26.780	11.639439	20.858	23.034	6.485
7150000000	25.923	13.162038	21.790	24.260	6.157
7200000000	32.676	12.342886	23.445	25.297	5.343
7250000000	24.974	16.637487	21.415	22.448	6.256
7300000000	29.633	15.869523	25.399	27.507	5.625
7350000000	24.416	16.296802	22.737	24.028	4.576
7400000000	26.105	13.841240	21.691	23.518	6.219
7450000000	23.731	13.640939	18.324	19.084	6.716
7500000000	27.394	11.944960	20.268	22.359	6.439
7550000000	26.394	11.478483	21.367	23.441	6.450
7600000000	18.683	9.292444	16.689	18.182	5.188
