Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	35.030	3.955025	23.417	25.583	5.583
250000000	39.819	3.851183	26.965	29.195	5.384
300000000	40.019	7.717492	29.602	31.467	4.822
350000000	37.629	16.120249	32.243	35.030	6.212
400000000	37.305	14.447213	32.700	35.285	6.006
450000000	38.362	13.774811	34.181	36.749	5.860
500000000	39.414	15.890641	35.623	37.867	5.858
550000000	40.723	24.050639	37.297	39.011	5.333
600000000	40.277	22.547781	36.854	39.286	5.572
650000000	39.360	29.505783	37.458	38.783	4.456
700000000	38.122	28.894965	36.199	37.356	4.127
750000000	39.493	22.167765	35.234	37.367	4.996
800000000	35.814	25.421183	33.937	35.262	4.248
850000000	31.873	24.885059	30.716	31.428	3.761
900000000	36.389	27.393031	33.969	35.631	5.271
950000000	34.412	27.034129	32.755	34.082	4.961
1000000000	34.095	26.078881	31.736	32.658	5.518
1050000000	33.393	27.905778	31.938	33.266	5.421
1100000000	33.826	29.763024	33.140	33.553	3.777
1150000000	34.529	28.224081	32.815	34.201	5.283
1200000000	34.448	29.101809	33.015	34.405	5.270
1250000000	35.423	28.701604	33.892	34.989	5.199
1300000000	30.781	24.647324	29.185	30.430	4.916
1350000000	32.942	26.778486	31.725	32.518	4.614
1400000000	31.857	24.988966	30.246	31.913	4.655
1450000000	36.837	28.651636	34.876	36.358	5.251
1500000000	40.074	28.469744	35.416	37.725	6.775
1550000000	36.699	29.108220	33.623	35.100	5.856
1600000000	33.834	27.834170	31.811	33.102	5.882
1650000000	34.359	28.210974	32.429	34.248	5.787
1700000000	30.296	25.382059	29.081	30.160	4.956
1750000000	29.631	25.806427	28.734	29.406	5.738
1800000000	26.448	23.405336	25.796	26.580	4.892
1850000000	25.687	22.059433	24.844	25.274	4.528
1900000000	25.956	22.112044	24.997	25.798	5.467
1950000000	24.331	21.545000	23.643	24.158	5.817
2000000000	23.739	20.850492	23.208	24.083	5.210
2050000000	23.127	20.562195	22.589	23.023	4.565
2100000000	22.502	19.809505	21.999	22.620	4.686
2150000000	22.618	20.238398	22.147	22.571	4.371
2200000000	23.942	18.255008	22.550	23.913	5.526
2250000000	23.257	20.646031	22.664	23.090	5.139
2300000000	22.948	22.871484	22.933	22.667	5.305
2350000000	25.216	19.435291	24.034	25.026	4.757
2400000000	25.653	20.551445	24.561	25.299	4.224
2450000000	25.426	19.858815	24.325	25.739	5.981
2500000000	25.705	20.922721	24.971	25.508	3.858
2550000000	24.536	19.844505	23.445	24.419	5.025
2600000000	24.788	20.188548	23.830	24.160	4.947
2650000000	25.011	19.250779	23.917	25.123	5.509
2700000000	29.173	22.254081	27.545	28.695	5.034
2750000000	28.527	22.291294	27.222	28.104	4.221
2800000000	29.351	19.882424	26.640	28.010	4.982
2850000000	32.982	21.015612	28.723	30.738	5.786
2900000000	28.282	20.666078	26.009	27.067	5.602
2950000000	30.158	20.873791	27.290	28.724	5.082
3000000000	28.277	19.002683	25.224	26.502	5.698
3050000000	29.195	18.015303	25.707	27.160	5.470
3100000000	23.914	16.565304	22.335	23.413	4.800
3150000000	30.857	14.848366	24.231	26.490	5.732
3200000000	25.724	13.561056	21.566	23.974	7.297
3250000000	36.533	13.229820	22.036	23.986	6.225
3300000000	35.412	9.823359	18.929	21.262	6.428
3350000000	21.523	6.686347	15.443	17.936	6.179
3400000000	22.247	5.403837	13.642	15.793	6.484
3450000000	35.930	4.330791	13.930	15.819	6.489
3500000000	20.202	8.295335	15.924	17.788	5.657
3550000000	17.259	9.833150	15.349	16.685	5.525
3600000000	26.124	10.412279	18.533	20.067	5.708
3650000000	22.430	13.754264	20.126	21.511	5.413
3700000000	24.302	14.112018	21.265	23.192	6.030
3750000000	25.534	16.873604	23.519	24.691	4.705
3800000000	22.720	17.570911	21.644	22.526	4.595
3850000000	22.397	21.291598	22.186	22.335	4.107
3900000000	20.921	21.361674	20.970	20.826	3.056
3950000000	20.589	22.056986	20.689	20.526	2.515
4000000000	22.023	24.324721	22.217	22.004	2.696
4050000000	21.928	25.988322	22.324	21.957	2.951
4100000000	20.385	24.288134	20.768	20.308	3.530
4150000000	24.519	25.031005	24.568	24.457	2.798
4200000000	24.168	27.427145	24.424	24.131	2.289
4250000000	24.515	27.966897	24.864	24.552	2.921
4300000000	23.979	27.596813	24.351	24.047	3.181
4350000000	24.661	28.077006	24.890	24.612	2.508
4400000000	25.022	29.457281	25.410	24.971	2.876
4450000000	27.254	29.197439	27.503	27.199	3.365
4500000000	27.834	27.214256	27.719	27.590	5.813
4550000000	27.270	27.923334	27.345	27.460	2.929
4600000000	27.189	28.796552	27.345	27.133	2.785
4650000000	29.896	29.119811	29.795	29.823	3.244
4700000000	26.853	28.705290	27.049	26.767	3.214
4750000000	23.396	28.430995	23.878	23.509	2.742
4800000000	23.755	28.615155	24.159	23.732	2.761
4850000000	25.034	27.221972	25.242	25.087	2.922
4900000000	21.569	29.103110	22.370	21.479	3.884
4950000000	19.156	25.158927	19.629	19.134	2.748
5000000000	19.396	25.354341	19.816	19.405	2.590
5050000000	18.506	24.667337	18.937	18.474	2.911
5100000000	16.211	23.920105	17.012	16.498	3.146
5150000000	13.453	23.095895	14.716	13.439	4.464
5200000000	15.656	20.433508	16.026	15.731	2.602
5250000000	16.389	18.253229	16.553	16.409	3.095
5300000000	14.438	15.055753	14.533	14.469	3.683
5350000000	16.417	10.455497	15.011	16.427	6.921
5400000000	14.042	7.465872	12.405	13.504	5.456
5450000000	11.983	4.495151	10.057	11.591	6.324
5500000000	29.656	6.427469	14.728	17.421	6.529
5550000000	10.391	6.709831	9.507	9.985	4.771
5600000000	10.956	8.297292	10.453	11.022	4.885
5650000000	12.896	11.619952	12.727	12.755	3.265
5700000000	14.564	11.303877	13.986	14.627	4.532
5750000000	11.573	10.896944	11.451	11.492	4.229
5800000000	8.657	10.830920	9.031	8.763	4.424
5850000000	12.847	11.462759	12.668	12.961	3.237
5900000000	17.129	13.192107	16.411	17.191	4.246
5950000000	16.399	15.401080	16.233	16.555	3.766
6000000000	13.024	14.150168	13.194	12.996	3.875
6050000000	14.988	13.351822	14.754	14.947	3.079
6100000000	16.360	14.226702	16.098	16.328	3.493
6150000000	15.119	15.949007	15.246	15.165	3.936
6200000000	16.600	16.246316	16.550	16.551	3.840
6250000000	19.205	16.439967	18.891	19.249	3.442
6300000000	20.838	17.932273	20.576	20.883	2.703
6350000000	19.085	19.658519	19.164	19.171	3.447
6400000000	20.376	18.192113	19.958	20.396	4.684
6450000000	23.253	17.855723	22.259	23.119	4.426
6500000000	26.211	20.892144	25.453	25.975	3.464
6550000000	21.969	19.682817	21.759	22.076	2.985
6600000000	21.074	19.171608	20.774	21.142	3.896
6650000000	28.516	19.721683	26.050	27.600	5.227
6700000000	22.551	18.682574	22.148	22.630	3.136
6750000000	16.964	19.254094	17.166	17.048	2.805
6800000000	13.561	17.432701	14.060	13.460	3.600
6850000000	13.367	16.876550	13.758	13.410	3.293
6900000000	11.803	12.685212	11.859	11.795	2.664
6950000000	7.804	8.488263	7.846	7.785	2.264
7000000000	4.098	5.109279	4.178	4.113	2.737
7050000000	7.666	7.267370	7.619	7.646	3.518
7100000000	12.516	10.472784	12.283	12.481	3.402
7150000000	15.180	12.146515	14.806	15.324	3.812
7200000000	16.528	12.315493	16.063	16.584	3.365
7250000000	13.938	14.828052	14.117	13.943	5.364
7300000000	20.117	15.231234	19.508	20.488	4.466
7350000000	25.248	15.178900	22.724	24.738	5.915
7400000000	20.702	13.623501	19.068	20.469	6.155
7450000000	18.140	13.670043	16.429	17.395	6.718
7500000000	19.200	11.997977	17.384	19.097	6.753
7550000000	21.139	11.093809	18.933	20.749	5.741
7600000000	16.291	8.539846	14.906	16.354	6.256
7650000000	9.827	7.471852	9.379	9.813	4.731
7700000000	7.946	3.865845	6.780	7.426	5.101
7750000000	8.103	0.949632	7.045	7.946	4.178
7800000000	8.564	1.670376	7.419	8.149	3.648
7850000000	5.152	3.119769	4.742	4.944	4.283
7900000000	7.744	8.974959	8.056	7.894	5.675
7950000000	10.019	11.257243	10.135	9.882	2.868
8000000000	12.323	13.177160	12.401	12.298	2.661
8050000000	14.710	16.396314	14.976	14.548	4.365
8100000000	11.559	17.144294	13.516	12.441	6.382
8150000000	13.958	19.034344	14.961	14.246	4.597
8200000000	19.332	19.949580	19.385	19.333	2.800
8250000000	18.830	20.712471	19.028	18.707	3.083
8300000000	16.042	20.365971	16.692	16.063	4.025
8350000000	16.245	21.833007	17.634	15.996	5.663
8400000000	16.602	21.703159	17.504	16.570	5.026
8450000000	18.969	21.470150	19.337	18.889	3.598
8500000000	21.249	19.922883	20.869	21.244	6.059
8550000000	4.699	18.971366	13.298	11.715	7.970
8600000000	12.913	19.153061	13.901	13.198	3.631
8650000000	11.686	16.924838	12.289	11.761	3.418
