Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
200000000	57.579	43.815694	44.711	44.187	8.188
250000000	44.988	49.675109	49.466	47.804	9.391
300000000	46.285	48.761754	48.476	47.392	9.184
350000000	49.310	44.315216	45.087	44.375	8.300
400000000	53.592	48.077629	48.157	47.511	8.924
450000000	36.482	43.179774	42.996	44.809	8.846
500000000	54.779	45.967427	46.185	46.111	8.920
550000000	55.004	49.257541	49.285	49.367	8.475
600000000	42.799	45.968767	45.870	46.786	9.114
650000000	44.488	48.929660	48.868	49.704	8.690
700000000	32.905	47.071867	47.017	46.940	7.808
750000000	46.653	49.381438	49.356	50.264	7.530
800000000	46.466	48.960247	48.913	49.084	7.639
850000000	48.526	47.744874	47.749	47.777	8.927
900000000	50.536	50.392788	50.396	50.679	7.484
950000000	42.037	47.441450	47.333	47.681	9.139
1000000000	46.979	46.171972	46.181	45.805	8.733
1050000000	42.565	50.459949	50.340	50.975	7.558
1100000000	45.012	49.789633	49.720	49.511	7.901
1150000000	56.890	50.548236	50.733	50.148	7.115
1200000000	42.609	50.077577	49.818	49.179	7.895
1250000000	52.718	51.284487	51.341	50.856	8.188
1300000000	55.063	47.386877	47.452	46.784	7.868
1350000000	45.676	48.648366	48.613	47.165	8.863
1400000000	42.077	49.086467	49.081	49.348	7.939
1450000000	45.093	49.527615	49.432	49.567	7.615
1500000000	51.811	50.868248	50.885	50.711	8.712
1550000000	56.216	51.874721	51.935	52.217	8.104
1600000000	43.087	49.861867	49.789	50.281	8.461
1650000000	48.184	48.151864	48.153	48.281	8.430
1700000000	44.723	49.419123	49.405	48.776	7.441
1750000000	51.640	49.461560	49.495	50.252	7.556
1800000000	48.248	50.796093	50.707	50.261	7.571
1850000000	43.697	49.494822	49.470	49.957	8.299
1900000000	48.255	48.813089	48.806	48.611	8.414
1950000000	74.843	48.398310	48.506	48.319	7.773
2000000000	49.557	49.615137	49.615	50.232	7.722
2050000000	43.382	49.607516	49.558	49.812	8.532
2100000000	50.356	49.657060	49.676	50.032	7.351
2150000000	45.949	47.682742	47.648	46.676	8.602
2200000000	54.845	47.623553	47.657	47.727	7.867
2250000000	53.889	46.311162	46.416	46.285	8.028
2300000000	46.332	47.998329	47.960	47.603	7.351
2350000000	47.247	48.795240	48.782	48.221	7.308
2400000000	56.113	48.122383	48.288	49.322	7.781
2450000000	43.731	48.198921	48.142	48.223	8.885
2500000000	61.626	47.306362	47.451	47.613	6.568
2550000000	56.121	48.026647	48.135	48.105	8.365
2600000000	48.862	48.432383	48.436	48.611	7.330
2650000000	45.148	46.374468	46.363	46.524	8.150
2700000000	48.893	46.130483	46.144	46.199	7.344
2750000000	45.090	46.519478	46.481	46.925	7.483
2800000000	55.770	47.933849	48.006	48.062	8.348
2850000000	42.577	45.591180	45.584	45.613	7.576
